timestamp;MAC;subcarrier;amplitude;phase;RSSI;frame_control
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;24;508.3246993802;-1.0270030202;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;25;547.2202481634;-2.1532237220;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;26;492.8782811202;2.7742731533;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;27;592.0008445940;1.5691071392;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;28;11265.0000000000;0.0000000000;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;29;37739.1671344241;-2.0966735131;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;30;128.0000000000;0.0000000000;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;31;3323.4808559701;-1.3601232941;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;32;3234.3778381630;-0.3221416377;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;33;5224.1418434036;-1.7678915638;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;34;5970.2095440612;2.1106987640;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;35;7798.9456338662;-1.9758059681;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;36;401.8768468076;-1.0470206160;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;37;417.4326292948;-2.1062857109;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;38;466.7868892760;2.8076475817;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;39;570.7135884137;1.6849365060;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;40;579.8551543274;0.4003628317;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;41;730.2198299143;-0.8425618119;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;42;775.1180555244;-1.9431572204;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;43;839.9720233436;-2.9402279341;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;44;900.2488544841;2.0662423590;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;45;869.0207132169;1.0211013870;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;46;835.0359273708;-0.0983578811;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;47;833.6648007443;-1.1651170151;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;48;747.4309332641;-2.2051994795;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;49;670.7316900222;2.8637025788;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;50;653.8661942630;1.6795957558;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;51;546.7065026136;0.4914636733;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;52;582.7495173743;-0.9499483968;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;53;626.8987159023;-2.0679788252;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;54;585.9496565406;3.0115222259;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;55;691.9248514109;1.8852343973;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;56;685.7083928318;0.9658050666;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;57;784.9292961790;-0.0701274708;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;58;745.2254692373;-1.0434946011;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;59;708.8018058668;-1.9282459939;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;60;660.4460613858;-2.9634997154;-74.0000000000;148
